,,All,,,,,,,Boys,,,,,,,Girls,,,,,
E09000026,Redbridge,3874,56.8,-,98.3,63.7,79.5,,2041,54.1,-,97.7,60.9,77.4,,1833,59.8,-,98.9,66.9,81.8
E09000027,Richmond upon Thames,1736,58.1,-,97.6,67.9,83.8,,887,55.2,-,97.6,66.4,83.1,,849,61,-,97.5,69.5,84.5
E09000028,Southwark,3002,55,-,97.8,57.4,77.2,,1486,52.4,-,97.1,54,73.8,,1516,57.5,-,98.5,60.7,80.5
E09000029,Sutton,3048,62,-,97.7,68.9,84.8,,1558,60.6,-,96.9,68.7,84,,1490,63.6,-,98.5,69.2,85.6
E09000030,Tower Hamlets,2967,51.7,-,95.2,54.2,74.4,,1486,48.6,-,93.8,49.5,72,,1481,54.8,-,96.6,59,76.8
E09000031,Waltham Forest,2707,51.5,-,96.1,50.4,68.7,,1422,48.4,-,95.4,45.9,65.2,,1285,55,-,96.9,55.3,72.5
E09000032,Wandsworth,1919,52.2,-,93.7,55.9,74.6,,1003,49.2,-,91.6,53.5,73,,916,55.4,-,96.1,58.4,76.4
E09000033,Westminster,1752,57.6,-,98.3,65.1,82.4,,872,54.1,-,97.4,61.2,78.9,,880,61,-,99.2,68.9,85.9
,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,28891,53.4,-,96.6,55.4,74.7,,14548,50.5,-,95.5,52.2,71.9,,14343,56.4,-,97.8,58.7,77.6
E13000002,Outer London,56755,54.5,-,97.3,58,76.1,,28866,51.7,-,96.6,54.5,73.3,,27889,57.3,-,98.1,61.7,79
,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,27055,49.2,-,96.6,49.8,70.8,,13783,46.6,-,95.6,46.3,67.9,,13272,52,-,97.6,53.5,73.9
E12000002,North West,79949,49.6,-,97,49.6,70.3,,40847,46.7,-,96.3,45.8,67.2,,39102,52.6,-,97.9,53.6,73.5
E12000003,Yorkshire and the Humber,58783,49.1,-,97.3,49.4,70,,29745,46.1,-,96.6,45.1,66.6,,29038,52.2,-,98.1,53.8,73.4
E12000004,East Midlands,49843,49.6,-,97.2,50.1,70.7,,25421,46.9,-,96.5,46.9,67.7,,24422,52.4,-,98,53.5,73.7
E12000005,West Midlands,65625,49.5,-,97.1,48.7,69.5,,33634,46.5,-,96.2,44.8,66.3,,31991,52.6,-,98,52.8,73
E12000006,East,64647,51,-,97.3,51.9,72.6,,33016,48.2,-,96.5,48,69.4,,31631,54,-,98.1,56,75.9
E12000007,London,85646,54.1,-,97.1,57.1,75.6,,43414,51.3,-,96.2,53.7,72.8,,42232,57,-,98,60.7,78.5
E12000008,South East,90615,52.1,-,97,54.5,74.4,,46536,49.4,-,96.1,50.9,71.5,,44079,55.1,-,98,58.2,77.5
E12000009,South West,53700,51.4,-,97.2,52.5,73.3,,27253,48.7,-,96.6,48.8,70.4,,26447,54.1,-,97.9,56.3,76.4
,,,,,,,,,,,,,,,,,,,,,
E92000001,England,575863,50.9,-,97.1,51.9,72.2,,293649,48.1,-,96.3,48.2,69.2,,282214,53.9,-,98,55.8,75.4
